R9 360;AMD;1000;1050;1625;6500;128;2048;GDDR5;768;48;16;3032
R9 390;AMD;1000;1000;1500;6000;512;8192;GDDR5;2560;160;64;8091
R7 240;AMD;730;780;900;1800;128;2048;GDDR3;320;20;8;978
Pro Duo;AMD;1000;1000;500;1000;8192;8192;HBM;8192;512;128;9439
GTX780Ti;Nvidia;875;1020;1752;7000;384;3072;GDDR5;2880;240;48;8885
GTX560Ti;Nvidia;950;950;1050;4200;256;1024;GDDR5;384;64;32;3529
R7 350X;AMD;1000;1050;1000;2000;128;4096;GDDR3;384;24;8;1742
HD6990;AMD;830;830;1250;5000;512;4096;GDDR5;3072;192;64;2859
R7 370;AMD;925;975;1400;5600;256;2048;GDDR5;1024;64;32;4640
GTX760Ti;Nvidia;915;980;1502;6008;256;2048;GDDR5;1344;112;32;5119
RX580;AMD;1257;1340;2000;8000;256;8192;GDDR5;2304;144;32;8460
R9 260;AMD;1100;1100;1625;6500;128;1024;GDDR5;896;56;16;3018
RX460;AMD;1090;1200;1750;7000;128;2048;GDDR5;896;56;16;4335
R9 290X;AMD;1000;1000;1250;5000;512;4096;GDDR5;2816;176;64;7438
GTX1080;Nvidia;1607;1733;1251;10008;256;8192;GDDR5;2560;160;64;12450
R9 270;AMD;900;925;1400;5600;256;2048;GDDR5;1280;90;32;4261
R9 280;AMD;827;933;1250;5000;384;3072;GDDR5;1792;112;32;5376
R5 340X;AMD;1000;1050;1125;4500;128;1024;GDDR5;384;24;8;1142
R9 270X;AMD;1000;1050;1400;5600;356;2048;GDDR5;1280;80;32;4693
RX550;AMD;1100;1183;1750;7000;128;2048;GDDR5;512;32;16;3445
R9 FURY X2;AMD;1050;1050;500;1000;4096;8192;HBM;4096;256;64;10258
R9 Nano;AMD;1000;1000;500;1000;4096;4096;HBM;4096;256;64;9906
GTX980Ti;Nvidia;1000;1076;1753;7012;384;6144;GDDR5;2816;176;96;11389
RX560;AMD;1175;1275;1750;7000;128;4096;GDDR5;1024;64;16;4362
GT710;Nvidia;954;954;900;1800;64;2048;GDDR3;192;16;8;689
GTX TITAN BLACK;Nvidia;889;980;1750;7000;384;6144;GDDR5;2880;240;48;8631
GTX670;Nvidia;915;980;1502;6008;256;2048;GDDR5;1344;112;32;5365
GTX TITAN Z;Nvidia;705;876;1750;7000;768;12288;GDDR5;5760;480;96;7700
GTX1050Ti;Nvidia;1291;1392;1752;7008;128;4096;GDDR5;768;48;32;6020
R9 280X;AMD;850;1000;1500;6000;384;3072;GDDR5;2048;128;32;5846
HD7950;AMD;800;800;1250;5000;384;3072;GDDR5;1792;112;32;4764
GTX1660Ti;Nvidia;1500;1770;1500;12000;192;6144;GDDR6;1536;96;48;11594
R9 380;AMD;918;918;1375;5500;256;4096;GDDR5;1792;112;32;6137
HD8990;AMD;1050;1050;1500;6000;768;6144;GDDR5;5120;320;96;5000
